ID,LAST_NAME,FIRST_NAME,NAME,TEAM,POSITION,HEIGHT,WEIGHT,DRAFT_YEAR
76001,ABDELNABY,ALAA,A. ABDELNABY,POR,F,6-10,240,1990
76002,ABDUL-AZIZ,ZAID,Z. ABDUL-AZIZ,HOU,C,6-9,235,1968
76003,ABDUL-JABBAR,KAREEM,K. ABDUL-JABBAR,LAL,C,7-2,225,1969
51,ABDUL-RAUF,MAHMOUD,M. ABDUL-RAUF,DEN,G,6-1,162,1990
1505,ABDUL-WAHAD,TARIQ,T. ABDUL-WAHAD,SAC,FG,6-6,235,1997
949,ABDUR-RAHIM,SHAREEF,S. ABDUR-RAHIM,MEM,F,6-9,245,1996
76005,ABERNETHY,TOM,T. ABERNETHY,GSW,F,6-7,220,1976
76006,ABLE,FOREST,F. ABLE,PHI,G,6-3,180,1956
76007,ABRAMOVIC,JOHN,J. ABRAMOVIC,PIT,F,6-3,195,
203518,ABRINES,ALEX,A. ABRINES,OKC,G,6-6,190,2013
1630173,ACHIUWA,PRECIOUS,P. ACHIUWA,MIA,F,6-8,225,2020
101165,ACKER,ALEX,A. ACKER,LAC,G,6-5,185,2005
76008,ACKERMAN,DONALD,D. ACKERMAN,NYK,G,6-0,183,1953
76009,ACRES,MARK,M. ACRES,ORL,C,6-11,220,1985
76010,ACTON,CHARLES,C. ACTON,HOU,F,6-6,210,
203112,ACY,QUINCY,Q. ACY,SAC,F,6-7,240,2012
76011,ADAMS,ALVAN,A. ADAMS,PHX,C,6-9,210,1975
76012,ADAMS,DON,D. ADAMS,DET,F,6-7,210,1970
200801,ADAMS,HASSAN,H. ADAMS,BKN,F,6-4,220,2006
1629121,ADAMS,JAYLEN,J. ADAMS,MIL,G,6-0,225,
203919,ADAMS,JORDAN,J. ADAMS,MEM,G,6-5,209,2014
149,ADAMS,MICHAEL,M. ADAMS,DEN,G,5-10,165,1985
203500,ADAMS,STEVEN,S. ADAMS,NOP,C,6-11,265,2013
912,ADDISON,RAFAEL,R. ADDISON,BKN,F,6-8,241,1986
1628389,ADEBAYO,BAM,B. ADEBAYO,MIA,CF,6-9,255,2017
1629061,ADEL,DENG,D. ADEL,CLE,F,6-7,200,
76015,ADELMAN,RICK,R. ADELMAN,POR,G,6-2,175,1968
202399,ADRIEN,JEFF,J. ADRIEN,CHA,F,6-7,245,
201167,AFFLALO,ARRON,A. AFFLALO,ORL,G,6-5,210,2007
200772,AGER,MAURICE,M. AGER,DAL,FG,6-5,202,2006
76016,AGUIRRE,MARK,M. AGUIRRE,DAL,F,6-6,232,1981
201336,AHEARN,BLAKE,B. AHEARN,MIA,G,6-2,190,
76017,AINGE,DANNY,D. AINGE,BOS,G,6-5,175,1981
201582,AJINCA,ALEXIS,A. AJINCA,NOP,C,7-2,248,2008
76018,AKIN,HENRY,H. AKIN,NYK,C,6-10,225,1966
203006,AKOGNON,JOSH,J. AKOGNON,DAL,G,5-11,185,
1629152,AKOON-PURCELL,DEVAUGHN,D. AKOON-PURCELL,,G,6-5,201,
202374,ALABI,SOLOMON,S. ALABI,TOR,C,7-1,252,2010
76019,ALARIE,MARK,M. ALARIE,WAS,F,6-8,217,1986
76020,ALCORN,GARY,G. ALCORN,DET,C,6-9,225,1959
203128,ALDEMIR,FURKAN,F. ALDEMIR,PHI,FC,6-10,240,2012
202332,ALDRICH,COLE,C. ALDRICH,NYK,C,6-11,253,2010
200746,ALDRIDGE,LAMARCUS,L. ALDRIDGE,SAS,CF,6-11,250,2006
76021,ALEKSINAS,CHUCK,C. ALEKSINAS,GSW,C,6-11,260,1982
1626146,ALEXANDER,CLIFF,C. ALEXANDER,POR,F,6-8,240,
724,ALEXANDER,CORY,C. ALEXANDER,SAS,G,6-1,190,1995
2042,ALEXANDER,COURTNEY,C. ALEXANDER,WAS,G,6-5,205,2000
76022,ALEXANDER,GARY,G. ALEXANDER,CLE,F,6-7,240,
201570,ALEXANDER,JOE,J. ALEXANDER,MIL,F,6-8,230,2008
1629734,ALEXANDER,KYLE,K. ALEXANDER,MIA,FC,6-10,216,
1630234,ALEXANDER,TY-SHON,T. ALEXANDER,PHX,G,6-4,195,
2349,ALEXANDER,VICTOR,V. ALEXANDER,GSW,F,6-10,265,1991
1629638,ALEXANDER-WALKER,NICKEIL,N. ALEXANDER-WALKER,NOP,G,6-5,205,2019
76024,ALFORD,STEVE,S. ALFORD,DAL,G,6-2,183,1987
1628959,ALKINS,RAWLE,R. ALKINS,CHI,G,6-5,225,
76028,ALLEN,BOB,B. ALLEN,GSW,F,6-9,205,1968
1628960,ALLEN,GRAYSON,G. ALLEN,MEM,G,6-4,198,2018
1628386,ALLEN,JARRETT,J. ALLEN,BKN,C,6-11,243,2017
706,ALLEN,JEROME,J. ALLEN,IND,G,6-4,184,1995
1628443,ALLEN,KADEEM,K. ALLEN,BOS,G,6-3,200,2017
202730,ALLEN,LAVOY,L. ALLEN,IND,FC,6-9,260,2011
76027,ALLEN,LUCIUS,L. ALLEN,MIL,G,6-2,175,1969
2124,ALLEN,MALIK,M. ALLEN,MIA,F,6-10,255,
76025,ALLEN,RANDY,R. ALLEN,SAC,F,6-8,220,
951,ALLEN,RAY,R. ALLEN,MIL,G,6-5,205,1996
2754,ALLEN,TONY,T. ALLEN,MEM,GF,6-4,213,2004
76029,ALLISON,ODIS,O. ALLISON,GSW,F,6-6,195,1971
200984,ALLRED,LANCE,L. ALLRED,CLE,C,6-11,250,
76030,ALLUMS,DARRELL,D. ALLUMS,DAL,F,6-8,220,1980
201165,ALMOND,MORRIS,M. ALMOND,UTA,G,6-6,225,2007
308,ALSTON,DERRICK,D. ALSTON,PHI,F,6-11,225,1994
1747,ALSTON,RAFER,R. ALSTON,HOU,G,6-2,175,1998
1824,ALUMA,PETER,P. ALUMA,SAC,C,6-10,260,
